title,company,location,country,seniority_level,employment_type,job_function,industries,مستوى الأقدمية,نوع التوظيف,المهام الوظيفية,المجالات,average_salary,work_model,mentions_sql,mentions_python,mentions_r,mentions_excel,mentions_tableau,mentions_power bi,mentions_aws,mentions_azure,mentions_gcp,mentions_spark,mentions_sas
Data Analyst - Recent Graduate,PayPal,Buffalo-Niagara Falls Area,USA,Not Applicable,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Financial Services",,,,,,Onsite,True,True,False,False,True,False,False,False,False,False,False
Data Analyst - Recent Graduate,PayPal,"San Jose, CA",USA,Not Applicable,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Financial Services",,,,,,Onsite,True,True,False,False,True,False,False,False,False,False,False
Data Analyst,PayPal,"Texas, United States",USA,Not Applicable,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Financial Services",,,,,,Onsite,True,True,True,False,False,False,False,False,False,False,True
Data Analyst,PayPal,"Illinois, United States",USA,Not Applicable,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Financial Services",,,,,,Onsite,True,True,True,False,False,False,False,False,False,False,True
Entry-Level Data Analyst,The Federal Savings Bank,"Chicago, IL",USA,Entry level,Full-time,Information Technology,Savings Institutions,,,,,,Onsite,True,False,True,False,True,True,False,False,False,False,True
Data Analyst,PayPal,Greater Scranton Area,USA,Not Applicable,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Financial Services",,,,,,Onsite,True,True,True,False,False,False,False,False,False,False,True
Data Analyst,PayPal,"Tennessee, United States",USA,Not Applicable,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Financial Services",,,,,,Onsite,True,True,True,False,False,False,False,False,False,False,True
Data Analyst,PayPal,"Indiana, United States",USA,Not Applicable,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Financial Services",,,,,,Onsite,True,True,True,False,False,False,False,False,False,False,True
Data Analyst,London Approach,"Franklin, TN",USA,Associate,Full-time,Finance,Hospitals and Health Care,,,,,110000.0,Onsite,False,False,False,False,False,False,False,False,False,False,False
Data Analyst,PayPal,"Wisconsin, United States",USA,Not Applicable,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Financial Services",,,,,,Onsite,True,True,True,False,False,False,False,False,False,False,True
Data Analyst,PayPal,"Virginia, United States",USA,Not Applicable,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Financial Services",,,,,,Onsite,True,True,True,False,False,False,False,False,False,False,True
Data Analyst - Recent Graduate,PayPal,"Omaha, NE",USA,Not Applicable,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Financial Services",,,,,,Onsite,True,True,False,False,True,False,False,False,False,False,False
Data Analyst,Motley Rice,"Mount Pleasant, SC",USA,Not Specified,Full-time,Not Specified,Not Specified,,,,,,Onsite,True,False,False,True,True,True,False,False,False,False,False
Data Analyst,PayPal,"Wilmington, DE",USA,Not Applicable,Full-time,Information Technology,"Software Development, Technology, Information and Internet, and Financial Services",,,,,,Onsite,True,True,True,False,False,False,False,False,False,False,True
